"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","1","2","3","4","5"
"no",12,"L","A","F",0.0558412699967327,0.406068471969726,0.388262158999145,0.128843806898142,0.0209842921362539
"yes",1,"A","L","F",0.519638443946265,0.420484569601799,0.0503336715807142,0.0083728098923912,0.00117050497883064
"no",1,"A","L","F",0.272071503811602,0.572282330905997,0.128515710823616,0.023750194612292,0.00338025984649315
"yes",2,"A","L","F",0.475086321618206,0.45417430920933,0.0593542053782105,0.00998647069919179,0.0013986930950608
"no",2,"A","L","F",0.238218866894696,0.581235457606789,0.148289615776983,0.0282185648446388,0.00403749487689298
"yes",3,"A","L","F",0.430927292324612,0.485675199977878,0.0698198932352598,0.0119063227687349,0.00167129169351532
"no",3,"A","L","F",0.207378374330081,0.584176493715523,0.170133248969502,0.0334899829834371,0.00482190000145655
"yes",4,"A","L","F",0.387840108908451,0.514078263109391,0.0818962729505106,0.0141884428167414,0.00199691221490594
"no",4,"A","L","F",0.179589304307503,0.581014342603889,0.193945110755679,0.0396934238749653,0.00575781845796319
"yes",5,"A","L","F",0.346438378252023,0.538534843550414,0.0957426267031529,0.0168983291868327,0.00238582230757767
"no",5,"A","L","F",0.154796774287639,0.571846950530625,0.219509756857854,0.0469723768337631,0.00687414149011922
"yes",6,"A","L","F",0.30723809276244,0.55829889083386,0.111500630137083,0.0201121277156291,0.00285025855098742
"no",6,"A","L","F",0.132872558362711,0.556958327503313,0.246480096960307,0.055483906620886,0.00820511055278295
"yes",7,"A","L","F",0.270636647693006,0.572761085782273,0.129279609626195,0.0239178611568794,0.0034047957416472
"no",7,"A","L","F",0.113636033270747,0.536809296896094,0.274367030578101,0.0653963985235175,0.00979124073154025
"yes",8,"A","L","F",0.236904439989226,0.581473731179589,0.149138467356937,0.028416579574246,0.00406678190000231
"no",8,"A","L","F",0.0968733335680012,0.512020711266065,0.302540064467932,0.0768855159183619,0.0116803747796403
"yes",9,"A","L","F",0.206188057832586,0.584166904919344,0.171064879632061,0.0337233084510504,0.00485684916495932
