codeUC;saison;verger;variete;nature;arbre;UCmere;nombreApicale;nombreLaterale;croissance;orientation;hauteur;positionUC1;positionUC;PUCM;PUCGM;diamUCM1;diamUCM2;diamAxeI;longueurAxeSec;date;stadeInflo;longueurInflo;DFInflo;ceci;obs
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;18/8/10 11:10;E;11,4;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;19/8/10 11:30;E;12,2;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;20/8/10 11:00;E;12,75;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;22/8/10 9:30;E;13,9;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;23/8/10 11:50;E;14,1;FE;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;24/8/10 11:25;F;15;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;25/8/10 11:35;F;15,25;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;26/8/10 11:00;F;15,5;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;27/8/10 11:40;F;15,9;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;30/8/10 11:00;F;16,9;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;31/8/10 11:30;F;17,3;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;1/9/10 11:00;F;17,5;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;2/9/10 11:05;F;17,5;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;3/9/10 10:30;F;17,7;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;6/9/10 11:10;F;18,6;F;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;7/9/10 11:10;F;18,6;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;8/9/10 11:10;F;18,6;;oui;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;18/9/10 11:00;PF;18,6;;oui;Pleine floraison
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;7/10/10 11:00;G;18,6;;oui;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;12/7/10 11:25;B2;;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;13/7/10 9:55;B2;;D;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;14/7/10 9:55;C;;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;15/7/10 9:25;D1;;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;16/7/10 9:35;D1;2,5;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;18/7/10 11:45;D1;3,9;FD1;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;19/7/10 8:30;D2;4,6;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;20/7/10 10:35;D2;6;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;21/7/10 9:50;D2/E;7;FD2;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;22/7/10 16:00;E;8,6;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;23/7/10 10:40;E;9,2;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;25/7/10 12:20;E;11,5;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;26/7/10 11:25;E;12,2;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;27/7/10 13:55;E;13,1;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;28/7/10 10:10;E;13,5;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;29/7/10 11:45;E;13,6;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;30/7/10 10:30;E;14,5;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;1/8/10 11:30;E;14,9;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;2/8/10 13:00;E;15,1;FE;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;3/8/10 12:00;F;15,4;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;4/8/10 12:00;F;15,7;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;5/8/10 11:50;F;15,7;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;6/8/10 11:50;F;15,8;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;7/8/10 16:30;F;16;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;9/8/10 11:40;F;16,3;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;10/8/10 11:50;F;16,5;F;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;11/8/10 11:40;F;16,5;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;13/8/10 14:00;F;16,5;;;
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;15/8/10 14:30;PF;16,5;;;Pleine floraison
3-BM-cog-F-B14-1-L;3;BM;cog;F;B14;1;1;1;1    ;nord-est;1,6;L;L;A;A;0,9;0,87;0,76;11,4;25/8/10 14:30;G;16,5;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;20/7/10 10:35;B2;;D;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;21/7/10 9:50;C;;;;
3-BM-cog-F-B14-2-A;3;BM;cog;F;B14;2;1;2;1    ;nord-est;2,3;A;A;A;A;1,08;1,07;1,1;27,8;22/7/10 16:00;C/D1;;;;
