a;nUC;nFprox;nFdist;nF1;nFplus;TMUC;TMFprox;TMFdist;TMF1;TMFplus;vari;ver;sai;arbre;pos;nbApUCm;nbLatUCm;vigArbre;or;haut;posUCm;nbF;longHypo;longUCF;surFproxF;surFdistF;surF1F;surFplusF;surFtot;volUC;a;A0;X00;B0;Error0;ER0
1-GH-jose-V-H16-1-A;14;12;15;13;NA;25.19321429;25.07708333;25.155;25.12807692;NA;jose;GH;1;H16;A;1;0;1;milieu;1.5;L;13;5.2;23.3;50.40266;25.20133;24.05286939;NA;477.6768094;11129.86966;1-GH-jose-V-H16-1-A;23.67455749;165.5647082;52.50209884;0;0.112731481
1-GH-jose-V-H16-2-L;13;11;12;12;NA;25.12807692;25.01772727;25.07708333;25.07708333;NA;jose;GH;1;H16;L;0;3;1;milieu;1.5;L;9;4.1;15.9;26.41099384;25.07892354;11.92382928;NA;217.8834988;3464.347631;1-GH-jose-V-H16-2-L;16.27434394;156.0043331;52.77383442;0;0.077094758
1-GH-jose-V-K10-1-L;14;NA;14;12;NA;25.19321429;NA;25.19321429;25.07708333;NA;jose;GH;1;K10;L;0;3;1;sud;1.5;A;13;3.5;15.5;NA;26.00777256;16.89209148;NA;NA;NA;1-GH-jose-V-K10-1-L;15.68150058;185.9060326;53.77362663;0;0.072905165
2-BM-cog-V-B8-1-A;10;15;14;NA;NA;24.8735;24.55233333;24.63464286;NA;NA;cog;BM;2;B8;A;1;0;3;ouest;2.2;L;4;4.5;5.5;70.26528388;32.68660483;NA;NA;NA;NA;2-BM-cog-V-B8-1-A;5.527337478;78.84283247;20.89283414;0;0.066139154
2-BM-cog-V-B8-2-L;8;14;NA;NA;NA;24.956875;24.54357143;NA;NA;NA;cog;BM;2;B8;L;1;3;3;ouest;2.2;L;6;4;7;51.31497217;NA;NA;NA;NA;NA;2-BM-cog-V-B8-2-L;7.031378798;72.05104655;18.80753603;0;0.093464912
2-BM-cog-V-B8-3-A;13;15;13;12;NA;25.12153846;25.06633333;25.12153846;25.16583333;NA;cog;BM;2;B8;A;1;0;3;ouest;1.1;L;15;3;14.2;67.08284528;47.366528;38.52971012;NA;839.6753231;11923.38959;2-BM-cog-V-B8-3-A;14.18993478;83.21806017;22.0379962;0;0.160971245
2-BM-cog-V-F2-1-A;14;17;NA;14;NA;24.63464286;24.36382353;NA;24.63464286;NA;cog;BM;2;F2;A;1;0;1;est;2.2;L;10;5.2;11;28.4199168;NA;42.71868744;NA;NA;NA;2-BM-cog-V-F2-1-A;11.02591339;79.5109659;22.15964007;0;0.124391838
2-BM-cog-V-F6-1-A;15;15;14;14;15;24.55233333;24.55233333;24.63464286;24.63464286;24.55233333;cog;BM;2;F6;A;1;2;3;est;2.5;A;21;2.5;22.4;46.92061655;25.533519;13.36624212;21.26313046;737.9075976;16529.13019;2-BM-cog-V-F6-1-A;22.30858314;84.97909073;22.36648568;0;0.249352798
2-BM-cog-V-F6-1-L;15;13;17;14;15;24.55233333;24.71269231;24.36382353;24.63464286;24.55233333;cog;BM;2;F6;L;1;2;3;est;2.5;A;10;8.7;17.8;48.55809222;12.3597034;7.81547712;13.0998054;281.9455574;5018.630922;2-BM-cog-V-F6-1-L;17.69272892;90.6414458;20.37914031;0;0.217044594
2-BM-cog-V-F6-2-A;13;14;14;NA;14;24.63153846;24.54357143;24.54357143;NA;24.54357143;cog;BM;2;F6;A;1;1;3;est;2.6;A;12;4.5;16.6;51.12994667;36.23539392;NA;28.33110456;NA;NA;2-BM-cog-V-F6-2-A;16.6553216;92.77850114;24.24289849;0;0.171754644
2-BM-cog-V-F6-2-L;16;14;14;14;NA;24.4546875;24.63464286;24.63464286;24.63464286;NA;cog;BM;2;F6;L;1;1;3;est;2.6;A;6;6.3;10.2;35.5785534;16.42656389;18.11769696;NA;148.1304902;1510.931;2-BM-cog-V-F6-2-L;10.08703535;88.67563693;17.49327731;0;0.144155883
2-BM-cog-V-F6-3-A;11;15;16;14;NA;24.77272727;24.44;24.344375;24.54357143;NA;cog;BM;2;F6;A;1;0;3;est;2.6;L;14;4;15.5;54.92296942;29.3450443;27.07293116;NA;574.8150203;8909.632815;2-BM-cog-V-F6-3-A;15.50430262;81.273145;21.70395905;0;0.178588415
2-BM-jose-V-B1-1-A;13;17;NA;NA;NA;24.71269231;24.36382353;NA;NA;NA;jose;BM;2;B1;A;1;0; 2/3;ouest;2.3;L;10;3.7;10.3;27.38124505;NA;NA;NA;NA;NA;2-BM-jose-V-B1-1-A;10.32248152;133.6709907;39.40455007;0;0.065490416
2-BM-jose-V-B1-2-A;15;15;13;NA;NA;24.55233333;24.55233333;24.71269231;NA;NA;jose;BM;2;B1;A;1;1; 2/3;ouest;2.1;L;7;3.7;22;28.5135048;14.56996893;NA;NA;NA;NA;2-BM-jose-V-B1-2-A;21.99409611;143.5907336;37.0343441;0;0.148470944
2-BM-jose-V-B1-3-L;15;17;17;NA;NA;24.55233333;24.36382353;24.36382353;NA;NA;jose;BM;2;B1;L;1;2; 2/3;ouest;2.2;A;8;5;19.5;22.23117325;14.60237064;NA;NA;NA;NA;2-BM-jose-V-B1-3-L;19.46008035;155.0468957;40.05755579;0;0.121450747
2-BM-jose-V-B3-1-L;17;14;NA;NA;NA;23.96558824;23.94428571;NA;NA;NA;jose;BM;2;B3;L;1;4;1;ouest;2.1;A;10;8.7;16.7;10.2605415;NA;NA;NA;NA;NA;2-BM-jose-V-B3-1-L;16.91353133;198.2517078;55.20299658;0;0.07659698
2-BM-jose-V-B4-1-A;15;17;NA;13;NA;23.84933333;23.83352941;NA;23.71461538;NA;jose;BM;2;B4;A;1;1;1;ouest;3.2;A;20;1.7;16.5;37.42397505;NA;4.7522508;NA;NA;NA;2-BM-jose-V-B4-1-A;16.65276128;158.1636224;48.64786594;0;0.085578067
2-BM-jose-V-B6-1-L;16;17;NA;NA;NA;23.81;23.79823529;NA;NA;NA;jose;BM;2;B6;L;1;5;1;ouest;2.8;A;9;12;21.5;30.71682108;NA;NA;NA;NA;NA;2-BM-jose-V-B6-1-L;21.96075295;222.3169151;56.91181086;0;0.096468346
2-BM-jose-V-B6-2-L;17;16;17;18;NA;23.79823529;23.81;23.79823529;23.84833333;NA;jose;BM;2;B6;L;1;5;1;ouest;2.8;L;13;6.2;24.2;15.72562992;16.38446469;11.85902586;NA;204.5195935;4949.374163;2-BM-jose-V-B6-2-L;24.48892045;193.7851616;55.05470811;0;0.111202662
2-BM-jose-V-B7-1-A;11;15;NA;NA;NA;23.62272727;23.782;NA;NA;NA;jose;BM;2;B7;A;1;0;1;ouest;3.5;L;12;2;11;39.68489437;NA;NA;NA;NA;NA;2-BM-jose-V-B7-1-A;11.13465632;136.7485019;43.64755432;0;0.063775946
2-BM-jose-V-F12-1-A;14;15;NA;NA;NA;24.54357143;24.44;NA;NA;NA;jose;BM;2;F12;A;1;4;1;nord-est;3;L;15;6;25.5;41.4741888;NA;NA;NA;NA;NA;2-BM-jose-V-F12-1-A;25.85605829;184.9003525;48.8715019;0;0.132265519
2-BM-jose-V-F12-1-L;13;17;NA;NA;NA;24.545;24.21294118;NA;NA;NA;jose;BM;2;F12;L;1;4;1;nord-est;3;L;5;14.9;17.3;23.2212255;NA;NA;NA;NA;NA;2-BM-jose-V-F12-1-L;17.57224079;179.70937;44.39195647;0;0.098960725
2-BP-cog-V-B7-1-A;12;11;12;NA;NA;25.19916667;25.22;25.19916667;NA;NA;cog;BP;2;B7;A;1;2;1;nord;2.8;L;15;4;13.3;18.58951199;20.98559221;NA;NA;NA;NA;2-BP-cog-V-B7-1-A;13.26931915;67.17233264;22.93541253;0;0.144637895
