"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"5-6","3","0","0","2",0.36056354325648,0
"7-8-9","3","0","0","2",0.190858997736401,0
"10","3","0","0","2",0.11995345743883,0
"11-12","3","0","0","2",2.05223964088812e-07,0
"1-2-3","4","0","0","2",3.16887411529355e-07,0
"4","4","0","0","2",1.81476796117552e-07,0
"5-6","4","0","0","2",2.96829670290161e-07,0
"7-8-9","4","0","0","2",1.24168488644316e-07,0
"10","4","0","0","2",7.17513566784857e-08,0
"11-12","4","0","0","2",1.08031692578655e-13,0
"1-2-3","5","0","0","2",0.844919329271174,0
"4","5","0","0","2",0.757289610956163,0
"5-6","5","0","0","2",0.836156984352529,0
"7-8-9","5","0","0","2",0.681003736744795,0
"10","5","0","0","2",0.55229695384531,0
"11-12","5","0","0","2",1.85738880690656e-06,0
"1-2-3","6","0","0","2",3.11071351793162e-07,0
"4","6","0","0","2",1.78146023139987e-07,0
"5-6","6","0","0","2",2.91381744417872e-07,0
"7-8-9","6","0","0","2",1.21889535749203e-07,0
"10","6","0","0","2",7.04344527503646e-08,0
"11-12","6","0","0","2",1.06048909577402e-13,0
"1-2-3","1","1","0","2",0.328794092789296,0
"4","1","1","0","2",0.21907531503762,0
"5-6","1","1","0","2",0.3145284747657,0
"7-8-9","1","1","0","2",0.161034417090741,0
"10","1","1","0","2",0.0998417378921692,0
"11-12","1","1","0","2",1.66999134176094e-07,0
"1-2-3","2","1","0","2",0.465159650573764,0
"4","2","1","0","2",0.332476262266968,0
"5-6","2","1","0","2",0.448934742953641,0
"7-8-9","2","1","0","2",0.254169893221723,0
"10","2","1","0","2",0.164526410009174,0
"11-12","2","1","0","2",2.96499386268561e-07,0
"1-2-3","3","1","0","2",0.400642463177972,0
"4","3","1","0","2",0.276836597772624,0
"5-6","3","1","0","2",0.385047818277109,0
"7-8-9","3","1","0","2",0.207560021950998,0
"10","3","1","0","2",0.131457956316218,0
