Burst,Burst_date_child,Delta_Burst_date,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother_V,position_mother_L,tree,uc
1,3.0,14,1.0,5.0,2.0,1,0,0,B10,42291
1,3.0,14,1.0,4.0,2.0,1,0,0,B10,42310
1,1.0,11,1.0,3.0,2.0,1,0,0,B10,42324
1,3.0,14,1.0,1.0,2.0,1,0,0,B10,42349
0,,,,,2.0,1,0,0,B10,42356
1,2.0,13,1.0,7.0,2.0,1,0,0,B10,42366
1,2.0,13,1.0,2.0,2.0,1,0,1,B10,42398
1,3.0,14,1.0,1.0,2.0,1,0,0,B10,42406
1,3.0,14,1.0,4.0,2.0,1,0,0,B10,42411
1,2.0,13,1.0,10.0,2.0,1,0,0,B10,42426
1,3.0,14,1.0,7.0,2.0,1,0,0,B10,42464
0,,,,,2.0,1,0,0,B10,42487
1,2.0,13,1.0,2.0,2.0,1,0,0,B10,42494
0,,,,,2.0,1,0,0,B10,42504
0,,,,,2.0,1,0,0,B10,42516
1,3.0,14,1.0,3.0,2.0,1,0,0,B10,42524
0,,,,,2.0,1,0,1,B10,42535
1,3.0,14,1.0,2.0,2.0,1,0,1,B10,42537
0,,,,,2.0,1,0,1,B10,42545
