Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,cycle,is_in_extremity,is_loaded,tree,uc
1,9.0,8.0,0.0,NA,0.0,,0.0,1,4,1,1,F2,52997
1,9.0,8.0,0.0,NA,0.0,,0.0,1,4,1,1,F2,53002
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,53010
1,9.0,8.0,0.0,NA,1.0,1.0,0.0,1,4,1,1,F2,53011
0,,,1.0,,,,,12,4,1,1,F2,53024
0,,,0.0,NA,,,0.0,12,4,1,1,F2,53026
0,,,1.0,,,,1.0,10,4,1,1,F2,53028
1,12.0,2.0,,NA,1.0,2.0,,10,4,0,1,F2,53031
1,4.0,4.0,,NA,0.0,,,12,4,0,1,F2,53032
1,3.0,11.0,1.0,,0.0,,1.0,4,4,1,1,F2,53033
1,4.0,4.0,,NA,1.0,1.0,,12,4,0,1,F2,53037
1,9.0,5.0,0.0,NA,1.0,2.0,0.0,4,4,1,1,F2,53038
1,9.0,5.0,0.0,NA,0.0,,0.0,4,4,1,1,F2,53058
1,4.0,4.0,,NA,0.0,,,12,4,0,1,F2,53063
0,,,1.0,,,,1.0,4,4,1,1,F2,53064
1,11.0,1.0,,NA,1.0,1.0,,10,4,0,1,F2,53067
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,53068
1,3.0,15.0,1.0,,1.0,3.0,1.0,1,4,1,1,F2,53069
