Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor,position_ancestor,position_mother,uc
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49870
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49873
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49876
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49879
no,,,yes,4,,,1.0,1,yes,no,F,L,L,49884
no,,,yes,4,,,1.0,1,yes,no,F,L,L,49887
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49893
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49896
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49899
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49902
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49905
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49913
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49916
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49919
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49922
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49925
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49928
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49931
no,,,yes,2,,,1.0,1,yes,no,V,A,L,49944
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49949
no,,,no,NA,,,0.0,1,yes,no,F,A,L,49952
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49954
no,,,yes,2,,,4.0,1,yes,no,F,A,L,49957
no,,,yes,2,,,4.0,1,yes,no,F,A,L,49960
no,,,no,NA,,,0.0,1,yes,no,F,A,L,49963
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49972
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49975
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49978
no,,,no,NA,,,0.0,1,yes,no,F,A,L,49981
no,,,no,NA,,,0.0,1,yes,no,F,A,L,49983
no,,,no,NA,,,0.0,1,yes,no,F,A,L,49985
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49991
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49994
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50042
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50045
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50048
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50051
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50054
no,,,yes,6,,,1.0,1,yes,no,F,A,L,50057
no,,,yes,2,,,1.0,1,yes,no,F,L,L,50062
no,,,no,NA,,,0.0,1,yes,no,F,A,L,50068
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50070
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50073
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50076
no,,,yes,2,,,4.0,1,yes,no,V,A,A,50089
no,,,yes,2,,,1.0,1,yes,no,V,A,L,50092
no,,,yes,2,,,1.0,1,yes,no,V,A,L,50095
no,,,yes,2,,,1.0,1,yes,no,V,L,A,50099
no,,,yes,3,,,1.0,1,yes,no,V,L,A,50104
no,,,yes,3,,,1.0,1,yes,no,V,L,L,50107
no,,,yes,3,,,6.0,1,yes,no,V,A,A,50112
no,,,yes,3,,,2.0,1,yes,no,V,A,L,50115
no,,,yes,3,,,1.0,1,yes,no,V,A,L,50118
no,,,yes,3,,,1.0,1,yes,no,V,A,L,50121
no,,,yes,3,,,1.0,1,yes,no,V,A,L,50124
no,,,yes,3,,,1.0,1,yes,no,V,L,A,50128
no,,,yes,2,,,4.0,1,yes,no,V,A,A,50133
no,,,yes,2,,,1.0,1,yes,no,V,A,L,50136
no,,,yes,2,,,1.0,1,yes,no,V,A,L,50139
no,,,yes,2,,,2.0,1,yes,no,V,A,L,50142
no,,,yes,3,,,1.0,1,yes,no,V,L,A,50146
no,,,yes,2,,,1.0,1,yes,no,V,A,A,50151
no,,,yes,2,,,1.0,1,yes,no,V,A,L,50154
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50162
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50165
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50168
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50171
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50174
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50191
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50194
no,,,yes,2,,,3.0,1,yes,no,F,A,L,50197
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50200
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50203
no,,,yes,2,,,3.0,1,yes,no,F,A,L,50206
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50209
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50212
no,,,yes,4,,,1.0,1,yes,no,F,L,L,50217
no,,,yes,4,,,1.0,1,yes,no,F,L,L,50220
no,,,yes,4,,,1.0,1,yes,no,F,L,L,50223
no,,,yes,4,,,1.0,1,yes,no,F,L,L,50226
yes,05-01,5.0,,NA,yes,2.0,,8,no,no,F,L,A,50231
no,,,yes,3,,,1.0,1,yes,no,F,L,L,50232
no,,,yes,3,,,1.0,1,yes,no,F,L,L,50234
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50240
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50243
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50246
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50249
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50252
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50255
no,,,yes,4,,,1.0,1,yes,no,V,A,A,50260
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50266
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50269
no,,,yes,2,,,1.0,1,yes,no,V,A,A,50276
no,,,yes,2,,,1.0,1,yes,no,V,A,L,50279
no,,,yes,3,,,1.0,8,yes,no,F,A,A,50297
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50300
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50303
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50306
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50309
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50312
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50315
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50318
no,,,yes,3,,,1.0,1,yes,no,F,A,L,50321
no,,,yes,3,,,1.0,1,yes,no,F,L,L,50328
yes,05-01,3.0,,NA,no,,,10,no,no,F,A,A,50356
yes,05-03,2.0,,NA,no,,,1,no,no,F,A,L,50357
no,,,yes,2,,,1.0,3,yes,no,F,A,A,50359
no,,,yes,2,,,2.0,12,yes,no,F,A,L,50362
yes,05-03,3.0,,NA,no,,,12,no,no,F,A,L,50365
no,,,yes,2,,,1.0,3,yes,no,F,A,A,50366
yes,05-03,3.0,,NA,no,,,12,no,no,F,A,L,50369
no,,,yes,2,,,1.0,3,yes,no,F,A,A,50370
no,,,yes,2,,,1.0,1,yes,no,V,L,A,50374
no,,,yes,3,,,1.0,12,yes,no,F,A,L,50382
no,,,yes,3,,,1.0,12,yes,no,F,A,L,50385
no,,,yes,3,,,1.0,12,yes,no,F,A,L,50388
no,,,yes,3,,,6.0,12,yes,no,F,A,L,50391
no,,,yes,3,,,1.0,1,yes,no,V,L,A,50395
no,,,no,NA,,,0.0,1,yes,no,V,L,L,50398
yes,05-01,3.0,,NA,no,,,10,no,no,F,A,A,50405
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50406
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50409
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50412
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50415
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50418
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50421
no,,,yes,2,,,1.0,1,yes,no,F,L,L,50426
no,,,yes,3,,,1.0,1,yes,no,F,L,L,50429
no,,,yes,4,,,1.0,1,yes,no,V,A,A,50444
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50452
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50455
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50458
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50461
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50464
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50467
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50470
no,,,yes,2,,,1.0,1,yes,no,F,A,L,50473
no,,,yes,2,,,1.0,1,yes,no,F,L,L,50478
no,,,yes,2,,,1.0,1,yes,no,F,L,L,50481
no,,,yes,2,,,1.0,1,yes,no,F,L,L,50484
no,,,yes,2,,,1.0,1,yes,no,F,L,L,50487
no,,,no,NA,,,0.0,1,yes,no,F,A,L,50506
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50508
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50511
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50514
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50517
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50520
no,,,yes,4,,,1.0,1,yes,no,F,A,L,50523
no,,,yes,5,,,1.0,1,yes,no,F,L,L,50528
