Burst,Burst_date_child,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother,position_mother,tree,uc
no,,,,unknow,yes,F,L,B12,44527
yes,10.0,yes,2.0,unknow,yes,V,A,B12,44877
no,,,,unknow,yes,F,A,B12,44913
yes,10.0,no,,unknow,yes,V,A,B12,44915
yes,10.0,no,,unknow,yes,V,L,B12,44916
yes,10.0,yes,3.0,unknow,yes,V,A,B12,44938
yes,10.0,yes,2.0,unknow,yes,V,L,B12,44939
no,,,,unknow,yes,F,L,B12,44940
yes,10.0,yes,2.0,unknow,yes,V,A,B12,45165
no,,,,unknow,yes,F,A,B12,45182
yes,10.0,yes,3.0,unknow,yes,F,A,B12,45184
yes,10.0,no,,unknow,yes,V,L,B12,45185
no,,,,unknow,yes,F,L,B12,45186
yes,10.0,no,,unknow,yes,V,L,B12,45187
yes,10.0,yes,2.0,unknow,yes,V,A,B12,45274
no,,,,unknow,yes,F,A,B12,45429
yes,10.0,yes,4.0,unknow,yes,V,A,B12,45431
no,,,,unknow,yes,F,L,B12,45432
yes,10.0,no,,unknow,yes,V,L,B12,45433
yes,10.0,no,,unknow,yes,V,L,B12,45434
no,,,,unknow,yes,F,L,B12,45435
yes,12.0,yes,3.0,unknow,yes,F,A,B12,45472
no,,,,unknow,yes,F,A,B12,45484
yes,10.0,yes,4.0,unknow,yes,V,A,B12,45490
no,,,,unknow,yes,F,L,B12,45491
yes,10.0,yes,2.0,unknow,yes,V,L,B12,45492
yes,10.0,no,,unknow,yes,V,L,B12,45493
yes,10.0,yes,3.0,unknow,yes,V,A,B12,45813
yes,10.0,yes,4.0,unknow,yes,V,A,B12,45879
yes,12.0,yes,3.0,unknow,yes,F,A,B12,46046
yes,10.0,yes,2.0,unknow,yes,V,A,B12,46057
yes,10.0,yes,1.0,unknow,yes,V,L,B12,46058
yes,10.0,no,,unknow,yes,V,L,B12,46059
yes,10.0,yes,3.0,unknow,yes,V,L,B12,46060
yes,10.0,no,,unknow,yes,V,L,B12,46061
yes,10.0,no,,unknow,yes,V,A,B12,46228
yes,10.0,no,,unknow,yes,V,A,B12,46232
no,,,,unknow,yes,F,A,B12,46236
yes,10.0,yes,6.0,unknow,yes,V,A,B12,46238
yes,10.0,no,,unknow,yes,V,L,B12,46239
yes,4.0,no,,unknow,yes,V,A,B12,46368
no,,,,unknow,yes,V,A,B12,46371
yes,9.0,yes,2.0,unknow,no,V,A,B14,46372
yes,12.0,yes,5.0,unknow,no,F,A,B14,46406
