"Flowering_Week","Nb_Inflorescences","Position_Ancestor_A","Nature_Ancestor_F","1","3","4","5","6","7","8","9","10"
"9","2","1","0",0.00261690096727787,0.00665225769137079,0.0082459342898574,0.0350518835898607,0.125208828771394,0.24569680851891,0.295356598453262,0.164765420833535,0.116405366884532
"1","3","1","0",0.187064389074275,0.263644938494473,0.159198103450891,0.219619323659063,0.120378935417553,0.0348082689673188,0.0108458449017352,0.00294030964330994,0.00149988639138099
"3","3","1","0",0.0109158468488796,0.0269476090524254,0.0318926598135131,0.119463664001232,0.287070629692303,0.27918776584415,0.159441607387729,0.0547114188784926,0.0303687984812752
"4","3","1","0",0.0697353312203438,0.141188104251971,0.126535235376417,0.275724867102829,0.247489618750046,0.0938430316295678,0.0319780839604734,0.00891585194774824,0.00458987576060377
"5","3","1","0",0.0227923236205189,0.0539906436398839,0.0600138631896684,0.193509615434303,0.327465040440768,0.209418076875772,0.0906634157490872,0.0275436023867408,0.0146034186632581
"6","3","1","0",0.0123586486003486,0.0303555899114761,0.0356457419742644,0.130884171337092,0.298427942077685,0.270258381882661,0.146270362621089,0.048918521170329,0.0268806404250551
"7","3","1","0",0.0057198707539125,0.0143811499538439,0.0175161891113219,0.070840092971739,0.213144894614144,0.295327700382991,0.231679136852121,0.0947113392625663,0.0566796260973618
"8","3","1","0",0.00402547281264022,0.0101818937357045,0.0125204962415658,0.0520112467164799,0.171108536750157,0.28099585661915,0.266653983322934,0.123718514401391,0.0787839993999779
"9","3","1","0",0.0103660949533995,0.0256398587424229,0.0304361178156739,0.11489443289492,0.281944619592659,0.282420159037344,0.165063670070001,0.0572899229325753,0.0319451239610047
"1","5","1","0",0.276347546801752,0.300230608857815,0.145234373790076,0.167999654376294,0.0793891912207085,0.0215313757790727,0.00658697884687476,0.00177594078236643,0.000904329545039717
"3","5","1","0",0.0179859139287248,0.0433194506503869,0.0493666981923093,0.168506322848311,0.322302079908081,0.235317453042106,0.110140903002504,0.0345382108980291,0.0185229675295473
"4","5","1","0",0.110640536980954,0.196649131888576,0.150785797751715,0.266497766268327,0.186550968043389,0.0609639504759483,0.0197297490175415,0.00541131178351406,0.00277078779003437
"5","5","1","0",0.0372648324166445,0.0840183599518834,0.086950359178993,0.24187000484723,0.311215709652141,0.154193344699481,0.0586580977566462,0.0169783018408362,0.00885098965614439
"6","5","1","0",0.0203439806217719,0.0486001670080502,0.0547076160056172,0.181488084849266,0.326029793397379,0.222064280759731,0.0996729120067547,0.030720718804564,0.0163724465468658
"7","5","1","0",0.00945674123372856,0.0234654568590315,0.0279941177532879,0.107058356632498,0.272343372038415,0.287401770472586,0.175216086548402,0.0621234328012635,0.0349406656607872
"8","5","1","0",0.00666278769958192,0.0166961768869072,0.0202289029656315,0.0806326248144925,0.231754305499876,0.296532337860514,0.214790501414329,0.0836948101731348,0.0490075526855328
"9","5","1","0",0.0170862451298425,0.0412813710303092,0.0472672651857999,0.16315486175694,0.320107058273654,0.240642051377868,0.114713490923359,0.0362508705721292,0.0194967857500982
"1","1","0","1",0.0535542386522789,0.114340065870006,0.109806217370963,0.267043785973519,0.278667435813071,0.117208797516404,0.0415653002663233,0.0117425717873496,0.00607158675008612
"3","1","0","1",0.00270651426089678,0.00687786889823183,0.00852123628802969,0.0361683845035721,0.128490440358156,0.248971172998069,0.293866403475774,0.161420350911292,0.112977628305979
"4","1","0","1",0.0180999252653354,0.043576802800279,0.0496302824610694,0.169168183436255,0.32254674578459,0.234652888163873,0.109586397488939,0.0343324331955138,0.0184063414041455
