"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","5","9","10","11","12"
"0","2","1","1","1",0.0145402782555974,0.0783256236332795,0.312193324240617,0.233202001556918,0.0243970401511879,0.00415613317862218,0.00409422349124333,0.11214007141948,0.216951304073055
"1","2","1","1","1",0.07957577505702,0.29536623180942,0.424631693346383,0.112232113683074,0.00825868093692406,0.0013608626607774,0.00132797526308748,0.0320974718303241,0.0451491954129908
"0","3","1","1","1",0.025219920008606,0.126970206699139,0.391989196387607,0.211554966796187,0.0192671498086384,0.00323523510874313,0.00317388326133428,0.0821437224112687,0.136445719518477
"1","3","1","1","1",0.131642103827613,0.380988920506722,0.362295663166335,0.072795725727022,0.00506951087024032,0.000831778616761203,0.00081070734712585,0.0193079705039267,0.026257619434253
"0","5","1","1","1",0.0134969804709269,0.0732000130864296,0.300302277384922,0.233651321495826,0.0249252271655088,0.0042553796925302,0.0041946362153078,0.115920322988551,0.230053841499998
"1","5","1","1","1",0.0742174753108974,0.283200674457241,0.429779802603184,0.118343438885715,0.00879017901675794,0.00144952896097084,0.00141479533730982,0.0342852739323178,0.0485188314956069
"0","9","1","1","1",0.000360150379351463,0.00213333603248207,0.0138592582578351,0.0249511352400919,0.00446593714013137,0.000821432577519286,0.00082804933317799,0.033574440768251,0.91900626027116
"1","9","1","1","1",0.00210660669843009,0.0123290074285492,0.0743291816855061,0.112797728950595,0.0178283848844636,0.00321052441306818,0.00321530229601144,0.114729627220086,0.65945363642329
"0","10","1","1","1",0.000414115870907816,0.00245208186742399,0.0158919003016458,0.0284451198383211,0.00506901780482756,0.000931625068741185,0.000938898867233424,0.037875024182506,0.907982216198393
"1","10","1","1","1",0.00242162996534024,0.0141420920215538,0.0841669005440648,0.124249104059857,0.0192660453086332,0.0034588288517641,0.0034607488195767,0.121410475822763,0.627424174606447
"0","11","1","1","1",0.186517729569409,0.427505142090099,0.299620854846831,0.0511677636954998,0.00346779948558917,0.0005678224605139,0.000553125120201892,0.0130827381607641,0.0175170245710925
"1","11","1","1","1",0.573284074276603,0.329830011671576,0.0810111101169617,0.00968888029532433,0.000626088419940718,0.000102164404230831,9.94250854517986e-05,0.00232465607591614,0.00303358965399536
"0","12","1","1","1",0.0754118917956585,0.285979205958332,0.428683264326281,0.116932776886763,0.00866648064801978,0.00142887997758767,0.00139457270544274,0.0337745530269234,0.047728374674992
"1","12","1","1","1",0.32337103405426,0.444927605064391,0.188322467015167,0.026182139469158,0.00172316283144514,0.000281551012598413,0.000274100905437891,0.00643673088579177,0.00848120876175051
"0","4","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"1","4","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"0","6","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"1","6","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"0","7","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"1","7","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"0","8","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"1","8","0","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"0","4","1","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"1","4","1","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"0","6","1","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"1","6","1","0","0",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
