"Nb_Inflorescences","Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"2","1-2","1","0","2",0.436928525741197,0
"3","1-2","1","0","2",0.294444734504548,0
"4","1-2","1","0","2",0.411514564038025,0
"5","1-2","1","0","2",0.792507069503913,0
"6","1-2","1","0","2",0.764152034921341,0
"1","3-4-5","1","0","2",0.189647662921188,0
"2","3-4-5","1","0","2",0.383414771846845,0
"3","3-4-5","1","0","2",0.250614801705215,0
"4","3-4-5","1","0","2",0.359128197746756,0
"5","3-4-5","1","0","2",0.753740429172414,0
"6","3-4-5","1","0","2",0.721946427493669,0
"1","10","0","1","2",0.0216762527780787,0
"2","10","0","1","2",0.0555981764291743,0
"3","10","0","1","2",0.0306896860670089,0
"4","10","0","1","2",0.050379783807716,0
"5","10","0","1","2",0.224669278376659,0
"6","10","0","1","2",0.197311186494683,0
"1","12","0","1","2",0.0624193098413073,1
"2","12","0","1","2",0.150305606306168,0
"3","12","0","1","2",0.0868702006559815,0
"4","12","0","1","2",0.137492204014819,0
"5","12","0","1","2",0.465438939402599,0
"6","12","0","1","2",0.424826760667406,0
"1","1-2","0","1","2",0.116161615292173,4
"2","1-2","0","1","2",0.258827845497768,0
"3","1-2","0","1","2",0.158114228698319,0
"4","1-2","0","1","2",0.239369266633169,0
"5","1-2","0","1","2",0.632201126076852,0
"6","1-2","0","1","2",0.593184703911328,0
"1","3-4-5","0","1","2",0.0952861687538031,0
"2","3-4-5","0","1","2",0.21865664389208,0
"3","3-4-5","0","1","2",0.130815343848849,0
"4","3-4-5","0","1","2",0.201397485934111,0
"5","3-4-5","0","1","2",0.579380079243774,0
"6","3-4-5","0","1","2",0.538847623954384,0
"1","10","1","1","2",0.0496194963056968,0
"2","10","1","1","2",0.121825394409567,0
"3","10","1","1","2",0.0694277262104476,0
"4","10","1","1","2",0.111122381491758,0
"5","10","1","1","2",0.40576142642637,0
"6","10","1","1","2",0.366783581016791,0
"1","12","1","1","2",0.135605019590742,0
"2","12","1","1","2",0.294202215657568,0
"3","12","1","1","2",0.183124826877022,0
"4","12","1","1","2",0.273063997787007,0
"5","12","1","1","2",0.672316205562455,0
"6","12","1","1","2",0.635099021488851,0
"1","1-2","1","1","2",0.236467114535046,2
"2","1-2","1","1","2",0.451422450581003,0
"3","1-2","1","1","2",0.30678736807154,0
"4","1-2","1","1","2",0.425802968278665,0
"5","1-2","1","1","2",0.801995946179051,0
"6","1-2","1","1","2",0.774568765662363,0
"1","3-4-5","1","1","2",0.198835363675585,0
"2","3-4-5","1","1","2",0.397386347381804,0
"3","3-4-5","1","1","2",0.2618018939604,0
"4","3-4-5","1","1","2",0.37274979063867,0
"5","3-4-5","1","1","2",0.764475276887584,0
"6","3-4-5","1","1","2",0.733577337904542,0
